iteration,total_remain,remain_fraction,assigned_fraction,assigned_delta,progress_rel_pct,stagnant_iterations,stagnant_limit,initial_isolated_flow,non_allocated_flow,run
52,5745903.331623663,0.18208366973744788,0.8179163302625521,56377.14437081106,0.17865524,0,3,0.0,1604.211978637943,goal8_reconv_2m
53,5685298.500387291,0.18016314489767146,0.8198368551023285,60604.83123637177,0.19205248,0,3,0.0,0.0,goal8_reconv_2m
54,5556054.327435679,0.1760674871838197,0.8239325128161803,129244.17295161262,0.40956577,0,3,0.0,62170.854189799466,goal8_reconv_2m
55,5499930.169009068,0.17428895174083733,0.8257110482591626,56124.15842661075,0.17785354,0,3,0.0,0.0,goal8_reconv_2m
56,5430660.473984271,0.172093843409952,0.827906156590048,69269.69502479676,0.21951083,0,3,0.0,2197.8185782808523,goal8_reconv_2m
57,5134922.251887134,0.16272210538144977,0.8372778946185502,295738.222097137,0.9371738,0,3,0.0,235655.21416306644,goal8_reconv_2m
58,4859118.689046589,0.15398208280357628,0.8460179171964237,275803.56284054555,0.87400226,0,3,0.0,204092.8454818288,goal8_reconv_2m
59,4794536.021113692,0.1519355030927871,0.8480644969072129,64582.667932896875,0.20465797,0,3,0.0,46.90051504196649,goal8_reconv_2m
60,4726137.14336563,0.14976799035414678,0.8502320096458532,68398.8777480619,0.21675127,0,3,0.0,115.30118974942437,goal8_reconv_2m
61,4601409.787790359,0.14581546743319898,0.854184532566801,124727.35557527095,0.39525229,0,3,0.0,58615.40293784029,goal8_reconv_2m
62,4545175.215902066,0.1440334330646115,0.8559665669353885,56234.57188829314,0.17820344,0,3,0.0,0.0,goal8_reconv_2m
63,4504828.325732834,0.14275486825060313,0.8572451317493969,40346.89016923215,0.12785648,0,3,0.0,0.0,goal8_reconv_2m
64,4445846.984696172,0.1408857906831327,0.8591142093168673,58981.34103666153,0.18690776,0,3,0.0,19848.72681691909,goal8_reconv_2m
65,4400115.606843073,0.1394365952092351,0.8605634047907649,45731.37785309926,0.14491955,0,3,0.0,3506.21529543918,goal8_reconv_2m
66,4363863.735969072,0.13828779870107652,0.8617122012989235,36251.87087400071,0.11487965,0,3,0.0,92.58274206432031,goal8_reconv_2m
67,4311769.304626201,0.13663696249929252,0.8633630375007075,52094.43134287093,0.16508362,0,3,0.0,0.0,goal8_reconv_2m
68,4271619.611453225,0.13536464672058238,0.8646353532794177,40149.693172976375,0.12723158,0,3,0.0,5042.440015221293,goal8_reconv_2m
69,4230494.449111025,0.13406141900413207,0.865938580995868,41125.162342200056,0.13032277,0,3,0.0,0.0,goal8_reconv_2m
70,4189728.393849575,0.1327695711406514,0.8672304288593486,40766.05526144989,0.12918479,0,3,0.0,0.0,goal8_reconv_2m
71,4155234.229575756,0.13167647512893546,0.8683235248710646,34494.164273818955,0.1093096,0,3,0.0,0.0,goal8_reconv_2m
72,4122670.7215711377,0.1306445602680688,0.8693554397319312,32563.508004618343,0.10319149,0,3,0.0,0.0,goal8_reconv_2m
73,4092853.25400806,0.12969966551387385,0.8703003344861262,29817.467563077807,0.09448948,0,3,0.0,0.0,goal8_reconv_2m
74,4058989.7694380274,0.1286265553021734,0.8713734446978266,33863.48457003245,0.10731102,0,3,0.0,0.0,goal8_reconv_2m
75,4021133.347804986,0.1274269116993764,0.8725730883006236,37856.421633041464,0.11996436,0,3,0.0,0.0,goal8_reconv_2m
76,3985079.660446645,0.126284395488628,0.873715604511372,36053.687358340714,0.11425162,0,3,0.0,262.5520537433719,goal8_reconv_2m
77,3957573.6585048647,0.12541274946809713,0.8745872505319029,27506.00194178056,0.0871646,0,3,0.0,0.0,goal8_reconv_2m
